lat,lon,neutron_count
-90,-179,156.16522
-90,-178,151.82129
-90,-177,157.83472
-90,-176,151.99406
-90,-175,155.43164
-90,-174,155.28494
-90,-173,155.82822
-90,-172,149.55211
-90,-171,154.97609
-90,-170,157.12477
-90,-169,152.84944
-90,-168,152.88962
-90,-167,150.07434
-90,-166,148.00313
-90,-165,151.07253
-90,-164,150.1425
-90,-163,152.34215
-90,-162,150.19829
-90,-161,150.09995
-90,-160,158.21475
-90,-159,141.66978
-90,-158,141.10744
-90,-157,150.85579
-90,-156,149.96931
-90,-155,146.66739
-90,-154,150.08606
-90,-153,143.69054
-90,-152,160.39438
-90,-151,149.61383
-90,-150,155.54427
-90,-149,143.57973
-90,-148,148.43622
-90,-147,149.87811
-90,-146,150.70291
-90,-145,150.29755
-90,-144,151.83006
-90,-143,154.2722
-90,-142,151.65938
-90,-141,150.90958
-90,-140,152.37804
-90,-139,155.74855
-90,-138,153.14313
-90,-137,147.91602
-90,-136,150.41533
-90,-135,156.53078
-90,-134,139.32718
-90,-133,140.06415
-90,-132,151.63327
-90,-131,153.78247
-90,-130,150.60902
-90,-129,148.9157
-90,-128,145.93877
-90,-127,147.85686
-90,-126,151.8972
-90,-125,162.60628
-90,-124,150.28816
-90,-123,146.10023
-90,-122,148.8832
-90,-121,149.76218
-90,-120,146.53021
-90,-119,148.33217
-90,-118,153.75214
-90,-117,157.24878
-90,-116,150.79106
-90,-115,150.60756
-90,-114,154.38853
-90,-113,148.30302
-90,-112,142.687
-90,-111,151.38254
-90,-110,128.2269
-90,-109,148.34885
-90,-108,159.99112
-90,-107,150.10785
-90,-106,164.93707
-90,-105,145.25768
-90,-104,151.66647
-90,-103,153.84193
-90,-102,142.80356
-90,-101,155.09404
-90,-99,141.1576
-90,-98,159.25645
-90,-97,151.0036
-90,-96,149.71254
-90,-95,151.75279
-90,-94,160.46713
-90,-93,147.5405
-90,-92,154.7698
-90,-91,153.00842
-90,-90,145.8965
-90,-89,147.72205
-90,-88,137.26839
-90,-87,148.7308
-90,-86,154.3289
-90,-85,141.80225
-90,-84,152.30208
-90,-83,142.86168
-90,-82,158.41104
-90,-81,147.24043
-90,-80,148.86914
-90,-79,166.91965
-90,-78,159.67717
-90,-77,150.32726
-90,-76,147.5339
-90,-75,152.6097
-90,-74,147.32246
-90,-73,159.4617
-90,-72,154.06824
-90,-71,162.21198
-90,-70,150.86989
-90,-69,149.80594
-90,-68,143.66725
-90,-67,146.39726
-90,-66,154.04514
-90,-65,149.54181
-90,-64,143.12366
-90,-63,147.49284
-90,-62,153.54976
-90,-61,163.8276
-90,-60,149.35703
-90,-59,153.07559
-90,-58,147.4039
-90,-57,147.86374
-90,-56,138.5154
-90,-55,163.61653
-90,-54,151.47661
-90,-53,151.8557
-90,-52,154.83354
-90,-51,152.66257
-90,-50,153.02766
-90,-49,146.01328
-90,-48,146.22435
-90,-47,153.66231
-90,-46,145.45018
-90,-45,151.99391
-90,-44,155.8177
-90,-43,150.56853
-90,-42,152.5678
-90,-41,145.45966
-90,-40,148.87454
-90,-39,155.37112
-90,-38,145.26518
-90,-37,155.5905
-90,-36,152.17805
-90,-35,147.20392
-90,-34,152.55502
-90,-33,155.66283
-90,-32,148.80302
-90,-31,136.6142
-90,-30,145.54112
-90,-29,145.4304
-90,-28,148.80896
-90,-27,152.84743
-90,-26,141.10944
-90,-25,151.30093
-90,-24,150.35281
-90,-23,154.41112
-90,-22,150.61545
-90,-21,158.74286
-90,-20,152.89615
-90,-19,149.55042
-90,-18,148.50986
-90,-17,141.12878
-90,-16,149.15955
-90,-15,150.5002
-90,-14,149.22385
-90,-13,149.13972
-90,-12,151.14622
-90,-11,143.3085
-90,-10,159.79027
-90,-9,146.70116
-90,-8,159.63219
-90,-7,156.7778
-90,-6,151.2016
-90,-5,151.42772
-90,-4,145.40765
-90,-3,148.36858
-90,-2,150.77719
-90,-1,150.85583
-90,0,146.78497
-90,1,148.6924
-90,2,140.28229
-90,3,141.2319
-90,4,151.30571
-90,5,151.473
-90,6,144.06511
-90,7,144.14694
-90,8,140.25511
-90,9,156.07616
-90,10,147.12758
-90,11,162.22537
-90,12,148.63792
-90,13,152.65202
